epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,359.804,3.3139,3.69879,2.5505,0.10447,0.11727,0.04753,0.01341,2.75031,3.21314,2.25777,0.000166531,0.000166531,0.0668604
2,710.801,2.63874,3.00774,2.09062,0.16366,0.1462,0.08593,0.02767,2.52595,2.82883,2.12308,0.000328485,0.000328485,0.033689
3,1060.05,2.41207,2.70093,1.92043,0.20483,0.25154,0.14334,0.04905,2.26206,2.49435,1.89403,0.000485725,0.000485725,0.000512892
4,1408.16,2.27741,2.47658,1.82543,0.30743,0.29073,0.21718,0.08284,2.15836,2.21979,1.81154,0.000478786,0.000478786,0.000478786
5,1755.43,2.18412,2.33648,1.76049,0.36937,0.33971,0.27971,0.11051,2.07743,2.04783,1.74947,0.000471714,0.000471714,0.000471714
6,2102.96,2.10029,2.19008,1.70532,0.40087,0.37877,0.32678,0.14287,1.97494,1.89761,1.68308,0.000464643,0.000464643,0.000464643
7,2449.94,2.04216,2.07603,1.65986,0.42704,0.39696,0.36766,0.16926,1.89684,1.80105,1.63443,0.000457571,0.000457571,0.000457571
8,2797.78,1.98906,1.985,1.6298,0.49483,0.4416,0.42451,0.20003,1.86981,1.71644,1.60271,0.0004505,0.0004505,0.0004505
9,3144.87,1.94091,1.89246,1.59894,0.54337,0.4652,0.4815,0.23498,1.79133,1.56123,1.54403,0.000443429,0.000443429,0.000443429
10,3492.35,1.89209,1.80506,1.56238,0.54128,0.50841,0.50942,0.25905,1.73808,1.50302,1.51803,0.000436357,0.000436357,0.000436357
11,3840.33,1.84159,1.74027,1.5312,0.59015,0.50806,0.54416,0.28146,1.67748,1.41857,1.47461,0.000429286,0.000429286,0.000429286
12,4188.47,1.79559,1.65515,1.50131,0.61701,0.54775,0.5708,0.30011,1.63569,1.36068,1.44243,0.000422214,0.000422214,0.000422214
13,4535.27,1.76078,1.5925,1.47662,0.65434,0.55284,0.6062,0.32584,1.57954,1.24661,1.41457,0.000415143,0.000415143,0.000415143
14,4881.98,1.72069,1.526,1.45365,0.69241,0.57404,0.62843,0.34082,1.55329,1.21023,1.39454,0.000408071,0.000408071,0.000408071
15,5229.9,1.69337,1.48587,1.43529,0.68105,0.58127,0.64152,0.3578,1.50235,1.15727,1.37118,0.000401,0.000401,0.000401
16,5577.86,1.65988,1.42466,1.4123,0.67887,0.61627,0.65908,0.37124,1.47403,1.11927,1.33959,0.000393929,0.000393929,0.000393929
17,5926.93,1.62843,1.38524,1.39218,0.75237,0.60135,0.69033,0.39097,1.4338,1.05452,1.3144,0.000386857,0.000386857,0.000386857
18,6275.98,1.6005,1.34703,1.37273,0.75048,0.62448,0.68982,0.40206,1.39079,1.03375,1.29115,0.000379786,0.000379786,0.000379786
19,6624.08,1.57046,1.30755,1.35702,0.71473,0.66568,0.69438,0.412,1.3598,0.99162,1.27844,0.000372714,0.000372714,0.000372714
20,6972.29,1.54434,1.27347,1.34038,0.72861,0.65506,0.70653,0.42159,1.33179,0.96309,1.26032,0.000365643,0.000365643,0.000365643
21,7320.68,1.51462,1.23885,1.32643,0.73828,0.6746,0.72533,0.43593,1.30429,0.93985,1.24357,0.000358571,0.000358571,0.000358571
22,7669.18,1.49843,1.20769,1.31148,0.76019,0.66957,0.7372,0.44757,1.26927,0.89921,1.22561,0.0003515,0.0003515,0.0003515
23,8017.88,1.47551,1.18577,1.30009,0.75611,0.67292,0.74004,0.45503,1.24816,0.89117,1.21432,0.000344429,0.000344429,0.000344429
24,8365.96,1.45182,1.16077,1.28795,0.76154,0.69522,0.75593,0.47224,1.2294,0.86569,1.20071,0.000337357,0.000337357,0.000337357
25,8713.93,1.43116,1.13518,1.27579,0.79037,0.68021,0.75945,0.4799,1.19701,0.84767,1.18297,0.000330286,0.000330286,0.000330286
26,9061.91,1.4121,1.11942,1.2667,0.7941,0.70542,0.77362,0.4889,1.17839,0.82125,1.17379,0.000323214,0.000323214,0.000323214
27,9411.38,1.39641,1.09532,1.25311,0.76907,0.72668,0.77891,0.49686,1.14973,0.79883,1.15692,0.000316143,0.000316143,0.000316143
28,9759.83,1.37791,1.07682,1.24536,0.79633,0.71221,0.77976,0.49723,1.13462,0.78791,1.1483,0.000309071,0.000309071,0.000309071
29,10110.9,1.36632,1.05055,1.23498,0.80333,0.72068,0.78083,0.50559,1.11683,0.77309,1.14038,0.000302,0.000302,0.000302
30,10465.2,1.34644,1.03689,1.22476,0.78164,0.74155,0.79148,0.51538,1.09692,0.75599,1.12679,0.000294929,0.000294929,0.000294929
31,10814.1,1.33113,1.01896,1.21336,0.79867,0.73314,0.79423,0.5178,1.08489,0.74507,1.11753,0.000287857,0.000287857,0.000287857
32,11161.9,1.31315,1.00116,1.20692,0.79758,0.74769,0.79764,0.52575,1.07079,0.73484,1.11166,0.000280786,0.000280786,0.000280786
33,11510.3,1.29625,0.98542,1.19708,0.80673,0.73913,0.8,0.52885,1.05172,0.72393,1.10169,0.000273714,0.000273714,0.000273714
34,11859.9,1.28763,0.97135,1.19136,0.80429,0.74495,0.80382,0.53476,1.04376,0.714,1.09639,0.000266643,0.000266643,0.000266643
35,12207.5,1.26865,0.94926,1.17894,0.79808,0.75448,0.80604,0.53998,1.03053,0.70479,1.08928,0.000259571,0.000259571,0.000259571
36,12554.6,1.25738,0.9475,1.17661,0.80384,0.75707,0.80712,0.54185,1.02263,0.69838,1.08622,0.0002525,0.0002525,0.0002525
37,12902.8,1.24318,0.92416,1.167,0.81051,0.74667,0.8087,0.54502,1.0101,0.69017,1.08096,0.000245429,0.000245429,0.000245429
38,13251.3,1.23942,0.9246,1.16446,0.82075,0.75826,0.81064,0.54753,1.00202,0.68241,1.07622,0.000238357,0.000238357,0.000238357
39,13599.7,1.22328,0.90231,1.155,0.83023,0.75588,0.81536,0.55125,0.99224,0.67092,1.07105,0.000231286,0.000231286,0.000231286
40,13948.6,1.2136,0.89692,1.15024,0.80961,0.76604,0.81426,0.55526,0.98135,0.66238,1.06691,0.000224214,0.000224214,0.000224214
41,14298.2,1.20139,0.88432,1.14458,0.82356,0.76854,0.81803,0.56021,0.97213,0.65532,1.0621,0.000217143,0.000217143,0.000217143
42,14648.1,1.19066,0.87339,1.13924,0.83067,0.76279,0.81959,0.56336,0.96364,0.64862,1.0572,0.000210071,0.000210071,0.000210071
